  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
                 83.48  85.54   5024  6018  5873    361   7412  7134    96.25
=== Summary ===

-- All --
Number of sentence        =    218
Number of Error sentence  =      0
Number of Skip  sentence  =      0
Number of Valid sentence  =    218
Bracketing Recall         =  83.48
Bracketing Precision      =  85.54
Bracketing FMeasure       =  84.50
Complete match            =   4.59
Average crossing          =   1.66
No crossing               =  37.61
2 or less crossing        =  77.06
Tagging accuracy          =  96.25

-- len<=100 --
Number of sentence        =    218
Number of Error sentence  =      0
Number of Skip  sentence  =      0
Number of Valid sentence  =    218
Bracketing Recall         =  83.48
Bracketing Precision      =  85.54
Bracketing FMeasure       =  84.50
Complete match            =   4.59
Average crossing          =   1.66
No crossing               =  37.61
2 or less crossing        =  77.06
Tagging accuracy          =  96.25
