  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 207   36    0   89.66  89.66    26     29   29      0     36    36   100.00
 208   32    0   87.10  87.10    27     31   31      0     32    30    93.75
 209   30    0   88.00  81.48    22     25   27      2     30    28    93.33
 210   29    0   65.38  77.27    17     26   22      3     29    28    96.55
 211   26    0  100.00 100.00    18     18   18      0     26    26   100.00
 212   31    0   76.00  76.00    19     25   25      3     31    31   100.00
 213   28    0   81.48  84.62    22     27   26      0     28    27    96.43
 214   30    0   59.09  61.90    13     22   21      6     30    28    93.33
 215   26    0   45.00  50.00     9     20   18      7     26    25    96.15
 216   37    0   73.53  75.76    25     34   33      3     37    36    97.30
 217   26    0   72.22  68.42    13     18   19      1     26    25    96.15
 218   32    0   75.00  87.50    21     28   24      1     32    32   100.00
============================================================================
                 77.83  79.88   4684  6018  5864    516   7412  7134    96.25
=== Summary ===

-- All --
Number of sentence        =    218
Number of Error sentence  =      0
Number of Skip  sentence  =      0
Number of Valid sentence  =    218
Bracketing Recall         =  77.83
Bracketing Precision      =  79.88
Bracketing FMeasure       =  78.84
Complete match            =   2.29
Average crossing          =   2.37
No crossing               =  25.23
2 or less crossing        =  61.93
Tagging accuracy          =  96.25

-- len<=100 --
Number of sentence        =    218
Number of Error sentence  =      0
Number of Skip  sentence  =      0
Number of Valid sentence  =    218
Bracketing Recall         =  77.83
Bracketing Precision      =  79.88
Bracketing FMeasure       =  78.84
Complete match            =   2.29
Average crossing          =   2.37
No crossing               =  25.23
2 or less crossing        =  61.93
Tagging accuracy          =  96.25
