  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
Bracketing Precision      =  82.79
Bracketing FMeasure       =  80.34
Complete match            =   2.29
Average crossing          =   2.09
No crossing               =  29.82
2 or less crossing        =  66.97
Tagging accuracy          = 100.00

-- len<=100 --
Number of sentence        =    218
Number of Error sentence  =      0
Number of Skip  sentence  =      0
Number of Valid sentence  =    218
Bracketing Recall         =  78.03
Bracketing Precision      =  82.79
Bracketing FMeasure       =  80.34
Complete match            =   2.29
Average crossing          =   2.09
No crossing               =  29.82
2 or less crossing        =  66.97
Tagging accuracy          = 100.00
