  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
Number of Error sentence  =      0
Number of Skip  sentence  =      0
Number of Valid sentence  =    218
Bracketing Recall         =  83.08
Bracketing Precision      =  85.65
Bracketing FMeasure       =  84.35
Complete match            =   5.50
Average crossing          =   1.74
No crossing               =  40.37
2 or less crossing        =  73.39
Tagging accuracy          = 100.00

-- len<=100 --
Number of sentence        =    218
Number of Error sentence  =      0
Number of Skip  sentence  =      0
Number of Valid sentence  =    218
Bracketing Recall         =  83.08
Bracketing Precision      =  85.65
Bracketing FMeasure       =  84.35
Complete match            =   5.50
Average crossing          =   1.74
No crossing               =  40.37
2 or less crossing        =  73.39
Tagging accuracy          = 100.00
